EventID	TrackID	TotalTrackLength_mm	FinalVolume
0	1	3.096	Pb2
0	2	0.612	Pb2
0	3	3.305	Pb2
0	4	4.859	Pb2
0	5	0.218	Pb2
0	6	4.566	Pb2
0	7	2.238	Pb2
0	8	2.500	Pb2
0	9	1.341	Pb2
0	10	8.008	Pb2
0	11	2.812	Pb2
0	12	4.989	Pb2
0	13	2.111	Pb2
0	14	0.398	Pb2
0	15	11.060	Pb2
0	16	1.655	Pb2
0	17	1.199	Pb2
0	18	0.519	Pb2
0	19	0.844	Pb2
0	20	13.748	Pb2
0	21	2.310	Pb2
0	22	0.874	Pb2
0	23	0.508	Pb2
0	24	2.193	Pb2
0	25	1.190	Pb2
0	26	5.258	Pb2
0	27	0.320	Pb2
0	28	1.608	Pb2
0	29	1.317	Pb2
0	30	0.313	Pb2
0	31	3.604	Pb2
0	32	2.357	Pb2
0	33	0.038	Pb2
0	34	0.484	Pb2
0	35	1.116	Pb2
0	36	2.296	Pb2
0	37	2.173	Pb2
0	38	0.497	Pb2
0	39	0.543	Pb2
0	40	6.382	Pb2
0	41	2.192	Pb2
0	42	0.438	Pb2
0	43	1.302	Pb2
0	44	1.871	Pb2
0	45	5.512	Pb2
0	46	6.671	Pb2
0	47	0.599	Pb2
0	48	0.469	Pb2
0	49	0.088	Pb2
0	50	1.761	Pb2
0	51	1.772	Pb2
0	52	1.725	Pb2
0	53	0.722	Unknown
0	54	0.992	Pb2
0	55	1.021	Pb2
0	56	4.566	Pb2
0	57	0.538	Pb2
0	58	3.706	Pb2
0	59	4.791	Pb2
0	60	0.049	Pb2
0	61	0.636	Pb2
0	62	0.180	Pb2
0	63	3.324	Pb2
0	64	0.504	Pb2
0	65	10.161	Pb2
0	66	0.165	Pb2
0	67	4.519	Pb2
0	68	4.174	Pb2
0	69	0.807	Pb2
0	70	1.799	Pb2
0	71	0.140	Pb2
0	72	2.857	Pb2
0	73	0.969	Pb2
0	74	1.858	Pb2
0	75	2.578	Pb2
0	76	2.836	Pb2
0	77	2.573	Pb2
0	78	3.217	Pb2
0	79	5.909	Pb2
0	80	2.865	Pb2
0	81	3.355	Pb2
0	82	3.143	Pb2
0	83	6.476	Pb2
0	84	0.903	Pb2
0	85	0.543	Pb2
0	86	0.040	Pb2
0	87	0.529	Pb2
0	88	1.399	Pb2
0	89	4.367	Pb2
0	90	0.618	Pb2
0	91	3.584	Pb2
0	92	0.302	Pb2
0	93	4.590	Pb2
0	94	3.283	Pb2
0	95	2.333	Pb2
0	96	1.136	Pb2
0	97	0.101	Pb2
0	98	0.596	Pb2
0	99	2.521	Pb2
0	100	1.220	Pb2
0	101	3.099	Pb2
0	102	0.157	Pb2
0	103	1.703	Pb2
0	104	1.084	Pb2
0	105	0.008	Pb2
0	106	2.041	Pb2
0	107	9.717	Pb2
0	108	0.356	Pb2
0	109	3.267	Pb2
0	110	0.848	Pb2
0	111	0.447	Pb2
0	112	1.534	Pb2
0	113	0.786	Pb2
0	114	0.990	Pb2
0	115	0.516	Pb2
0	116	0.789	Pb2
0	117	6.236	Pb2
0	118	3.254	Pb2
